emotion,autonomous,motivation,time_management,concentration,reading,memorize,test_management,taking_note,focus,average-score
89,69,76,89,69,76,89,69,76,29,4.5
83,81,79,83,81,79,83,81,79,33,3.84
77,67,70,77,67,70,77,67,70,45,5.4
85,86,92,85,86,92,85,86,92,41,1.63
74,77,74,74,77,74,74,77,74,32,4
72,75,70,72,75,70,72,75,70,41,6.73
75,72,77,75,72,77,75,72,77,35,4.16
71,82,84,71,82,84,71,82,84,43,2.8
67,76,81,67,76,81,67,76,81,38,2.57
77,70,74,77,70,74,77,70,74,34,5.31
76,64,63,76,64,63,76,64,63,41,5
70,78,78,70,78,78,70,78,78,44,2.07
70,60,62,70,60,62,70,60,62,58,4.44
77,80,78,77,80,78,77,80,78,34,2.54
73,73,77,73,73,77,73,73,77,46,2.93
66,63,70,66,63,70,66,63,70,49,4.67
75,67,69,75,67,69,75,67,69,38,5.43
67,81,84,67,81,84,67,81,84,35,3.38
55,76,77,55,76,77,55,76,77,41,4.37
86,88,92,86,88,92,86,88,92,23,6.5
87,91,87,87,91,87,87,91,87,24,5.19
66,70,69,66,70,69,66,70,69,46,3.63
63,64,71,63,64,71,63,64,71,45,3.16
68,85,83,68,85,83,68,85,83,53,4.53
75,76,82,75,76,82,75,76,82,34,3
74,69,68,74,69,68,74,69,68,46,5.04
92,84,90,92,84,90,92,84,90,27,1.75
60,63,68,60,63,68,60,63,68,57,1.38
72,71,67,72,71,67,72,71,67,45,6.67
63,69,71,63,69,71,63,69,71,37,4.75
81,76,74,81,76,74,81,76,74,35,5
85,95,91,85,95,91,85,95,91,50,1.33
79,77,79,79,77,79,79,77,79,42,4.25
69,69,73,69,69,73,69,69,73,51,4.27
47,62,61,47,62,61,47,62,61,57,5
56,64,70,56,64,70,56,64,70,52,3.64
78,76,67,78,76,67,78,76,67,47,6.73
71,70,78,71,70,78,71,70,78,36,4.41
77,86,83,77,86,83,77,86,83,33,1.52
75,72,76,75,72,76,75,72,76,44,3.75
56,88,79,56,88,79,56,88,79,32,4
56,57,75,56,57,75,56,57,75,40,3.2
71,74,76,71,74,76,71,74,76,40,3.13
61,80,66,61,80,66,61,80,66,58,3.55
57,70,70,57,70,70,57,70,70,60,2.25
89,90,95,89,90,95,89,90,95,26,3.8
53,50,65,53,50,65,53,50,65,55,4.75
89,92,83,89,92,83,89,92,83,40,4.25
78,70,71,78,70,71,78,70,71,34,5
62,78,72,62,78,72,62,78,72,50,1
72,77,79,72,77,79,72,77,79,40,3.69
76,73,87,76,73,87,76,73,87,33,3.86
74,73,81,74,73,81,74,73,81,46,4
66,78,74,66,78,74,66,78,74,42,2.66
53,73,73,53,73,73,53,73,73,54,7.5
73,80,81,73,80,81,73,80,81,47,4
81,85,88,81,85,88,81,85,88,43,4
79,82,87,79,82,87,79,82,87,38,2
56,60,63,56,60,63,56,60,63,63,4.75
84,90,90,84,90,90,84,90,90,28,2.15
62,62,69,62,62,69,62,62,69,64,2.53
55,65,68,55,65,68,55,65,68,54,2
73,90,87,73,90,87,73,90,87,40,3.13
61,83,74,61,83,74,61,83,74,54,3.03
73,70,88,73,70,88,73,70,88,37,4.43
100,96,100,100,96,100,100,96,100,20,3.37
74,80,79,74,80,79,74,80,79,42,6.04
68,80,69,68,80,69,68,80,69,60,3
67,70,64,67,70,64,67,70,64,52,2.38
79,86,85,79,86,85,79,86,85,48,2.15
46,62,62,46,62,62,46,62,62,71,6.94
48,56,48,48,56,48,48,56,48,66,2.5
91,75,80,91,75,80,91,75,80,29,1.82
94,98,96,94,98,96,94,98,96,28,2.05
67,81,70,67,81,70,67,81,70,54,4
68,73,83,68,73,83,68,73,83,31,3.94
79,87,82,79,87,82,79,87,82,43,1.53
